Date,Open,High,Low,Close,Adj Close,Volume,Log Returns,RSI,ATR
2012-11-23,70.19000244140625,70.47000122070312,69.69999694824219,70.0,70.0,196900,0.0018588301751102613,40.32633791874403,1.729497958541874
2012-11-26,70.02999877929688,70.33999633789062,69.36000061035156,70.27999877929688,70.27999877929688,675200,0.003992003900397757,41.842957723654884,1.675962084898816
2012-11-27,70.19000244140625,70.47000122070312,69.86000061035156,70.29000091552734,70.29000091552734,663000,0.0001423082630584165,41.899763597189036,1.599821979574012
2012-11-28,69.77999877929688,70.5999984741211,69.63999938964844,70.29000091552734,70.29000091552734,567700,0.0,41.899763597189036,1.5541203442096294
2012-11-29,71.0999984741211,72.37000274658203,70.33999633789062,71.30999755859375,71.30999755859375,1667700,0.014406981590876345,47.91656769800732,1.591683307555705
2012-11-30,71.02999877929688,71.45999908447266,70.30000305175781,70.8499984741211,70.8499984741211,1827500,-0.006471591203754754,45.62197824265374,1.5608485022099292
2012-12-03,70.8499984741211,70.86000061035156,70.08999633789062,70.44999694824219,70.44999694824219,624600,-0.005661749573315453,43.66389508988796,1.5043596286564298
2012-12-04,69.83000183105469,70.93000030517578,69.5999984741211,70.44999694824219,70.44999694824219,1445600,0.0,43.66389508988796,1.4919055002563053
2012-12-05,70.12999725341797,70.7699966430664,69.61000061035156,69.73999786376953,69.73999786376953,924300,-0.010129184410468426,40.11923070354482,1.468197681146201
2012-12-06,69.63999938964844,70.37000274658203,68.95999908447266,69.5999984741211,69.5999984741211,700900,-0.0020094651993266903,39.43934581780871,1.4640409655007134
2012-12-07,69.77999877929688,70.70999908447266,69.5,70.43000030517578,70.43000030517578,923000,0.011854767673529542,45.35214957329079,1.445895116855852
2012-12-10,70.47000122070312,70.47000122070312,69.27999877929688,69.76000213623047,69.76000213623047,539400,-0.009558502867062219,41.80401449120423,1.4276170686094518
2012-12-11,69.76000213623047,69.98999786376953,69.12999725341797,69.58999633789062,69.58999633789062,810300,-0.002439983990611181,40.92901388864152,1.3870730358767456
2012-12-12,69.86000061035156,70.31999969482422,69.3499984741211,69.61000061035156,69.61000061035156,669900,0.00028741771605199335,41.085277518807096,1.3572821919357725
2012-12-13,69.7300033569336,69.97000122070312,68.61000061035156,69.08000183105469,69.08000183105469,480000,-0.0076429641639642444,38.20187570594768,1.3574763646797574
2012-12-14,69.01000213623047,69.62000274658203,68.44000244140625,68.68000030517578,68.68000030517578,330600,-0.005807239312050518,36.140376925977506,1.3447995032866162
2012-12-17,68.88999938964844,70.97000122070312,68.62999725341797,70.77999877929688,70.77999877929688,1088200,0.030118417198156257,51.06912505708647,1.4158855364293692
2012-12-18,71.02999877929688,74.63999938964844,70.87999725341797,74.13999938964844,74.13999938964844,1568100,0.046378731819291294,65.11942824291445,1.5904651845666689
2012-12-19,74.3499984741211,75.0,72.56999969482422,74.05000305175781,74.05000305175781,1234800,-0.0012146075642355675,64.58449309490598,1.6504319788958912
2012-12-20,73.94000244140625,74.56999969482422,73.05000305175781,73.20999908447266,73.20999908447266,1223000,-0.011408570772875833,59.65839240218628,1.641115169193785
2012-12-21,72.05000305175781,73.69999694824219,71.66999816894531,73.43000030517578,73.43000030517578,823100,0.0030005644664732488,60.50798890615112,1.6688925699154342
2012-12-24,73.73999786376953,73.83999633789062,73.05999755859375,73.43000030517578,73.43000030517578,193900,0.0,60.50798890615112,1.6054001562998228
2012-12-26,73.58000183105469,74.62000274658203,72.66999816894531,73.23999786376953,73.23999786376953,415500,-0.0025908849807569534,59.257989275838696,1.6300147578238868
2012-12-27,73.0199966430664,73.83000183105469,72.45999908447266,73.66999816894531,73.66999816894531,465400,0.005853945201128779,61.21098025048826,1.6114424713066116
2012-12-28,72.9000015258789,74.02999877929688,72.68000030517578,73.58000183105469,73.58000183105469,443400,-0.0012223612780499003,60.556704584636265,1.5927679000790746
2012-12-31,73.91999816894531,76.69000244140625,73.18000030517578,76.23999786376953,76.23999786376953,758300,0.035512956764283565,70.56975057870388,1.7297132026613171
